
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            Total	127804.0	125459.0	121991.0	121584.0	120721.0	121668.0	121460.0	124603.0	125937.0	52056.0	52042.0	50670.0	50033.0	49570.0	50028.0	50420.0	51814.0	51533.0	42340.0	40611.0	39109.0	38694.0	39019.0	39735.0	39225.0	39878.0	41406.0	8734.0	8777.0	9087.0	9698.0	9427.0	9448.0	9516.0	9845.0	9556.0	15941.0	15462.0	14760.0	14445.0	14092.0	14011.0	13818.0	14138.0	14550.0	8733.0	8567.0	8365.0	8714.0	8613.0	8446.0	8481.0	8928.0	8892.0	
            España	116375.0	115209.0	112670.0	112849.0	111775.0	113578.0	113965.0	117491.0	119344.0	46936.0	47815.0	46770.0	46567.0	45852.0	46754.0	47410.0	49064.0	49080.0	39046.0	37517.0	36406.0	36086.0	36419.0	37471.0	37132.0	37933.0	39551.0	8004.0	8090.0	8483.0	9026.0	8827.0	8873.0	8932.0	9334.0	9035.0	14017.0	13519.0	12932.0	12703.0	12331.0	12295.0	12222.0	12466.0	13030.0	8372.0	8268.0	8079.0	8467.0	8346.0	8185.0	8269.0	8694.0	8648.0	
            Unión Europea	3946.0	3597.0	3438.0	3273.0	3463.0	3316.0	3152.0	3232.0	2730.0	1627.0	1259.0	1267.0	1111.0	1219.0	1122.0	1063.0	1056.0	795.0	712.0	726.0	600.0	624.0	683.0	614.0	575.0	563.0	527.0	189.0	198.0	162.0	188.0	207.0	201.0	186.0	178.0	153.0	1294.0	1305.0	1326.0	1258.0	1258.0	1288.0	1241.0	1334.0	1158.0	124.0	109.0	83.0	92.0	96.0	91.0	87.0	101.0	97.0	
            Resto de Europa	927.0	855.0	690.0	538.0	549.0	515.0	546.0	550.0	524.0	461.0	408.0	311.0	255.0	255.0	213.0	243.0	259.0	251.0	239.0	237.0	212.0	167.0	184.0	191.0	191.0	186.0	156.0	63.0	61.0	61.0	44.0	30.0	39.0	41.0	38.0	45.0	127.0	124.0	80.0	50.0	54.0	47.0	51.0	51.0	46.0	37.0	25.0	26.0	22.0	26.0	25.0	20.0	16.0	26.0	
            EEUU y Canadá	193.0	173.0	129.0	129.0	130.0	112.0	94.0	58.0	67.0	128.0	116.0	71.0	83.0	89.0	70.0	50.0	30.0	37.0	27.0	24.0	23.0	14.0	13.0	12.0	6.0	4.0	9.0	12.0	17.0	15.0	13.0	8.0	10.0	18.0	11.0	10.0	23.0	15.0	14.0	19.0	16.0	18.0	16.0	11.0	9.0	3.0	1.0	6.0	0.0	4.0	2.0	4.0	2.0	2.0	
            América Latina y Caribe	3248.0	2823.0	2388.0	1967.0	2257.0	2035.0	1750.0	1517.0	1562.0	1641.0	1376.0	1206.0	900.0	1063.0	972.0	775.0	658.0	649.0	1011.0	916.0	717.0	639.0	783.0	672.0	632.0	563.0	543.0	279.0	244.0	200.0	209.0	178.0	176.0	170.0	118.0	158.0	217.0	211.0	180.0	162.0	162.0	139.0	118.0	120.0	147.0	100.0	76.0	85.0	57.0	71.0	76.0	55.0	58.0	65.0	
            Norte de África	1393.0	1156.0	1249.0	1319.0	1039.0	716.0	655.0	634.0	582.0	529.0	397.0	425.0	448.0	359.0	273.0	252.0	229.0	179.0	660.0	573.0	627.0	668.0	481.0	307.0	284.0	283.0	290.0	65.0	57.0	52.0	61.0	47.0	31.0	28.0	39.0	21.0	110.0	103.0	115.0	118.0	118.0	83.0	78.0	64.0	74.0	29.0	26.0	30.0	24.0	34.0	22.0	13.0	19.0	18.0	
            Resto de África	320.0	299.0	241.0	199.0	204.0	213.0	209.0	154.0	152.0	149.0	148.0	104.0	89.0	96.0	94.0	75.0	69.0	71.0	123.0	114.0	103.0	74.0	86.0	87.0	97.0	55.0	53.0	21.0	16.0	19.0	21.0	9.0	21.0	21.0	13.0	12.0	20.0	14.0	12.0	9.0	10.0	7.0	11.0	11.0	8.0	7.0	7.0	3.0	6.0	3.0	4.0	5.0	6.0	8.0	
            Asia y Oceanía	1402.0	1347.0	1186.0	1310.0	1304.0	1183.0	1089.0	967.0	976.0	585.0	523.0	516.0	580.0	637.0	530.0	552.0	449.0	471.0	522.0	504.0	421.0	422.0	370.0	381.0	308.0	291.0	277.0	101.0	94.0	95.0	136.0	121.0	97.0	120.0	114.0	122.0	133.0	171.0	101.0	126.0	143.0	134.0	81.0	81.0	78.0	61.0	55.0	53.0	46.0	33.0	41.0	28.0	32.0	28.0	
        Mujeres	
            Total	168729.0	165762.0	159855.0	159899.0	153462.0	150154.0	149921.0	149211.0	150030.0	80136.0	81307.0	78154.0	80328.0	77563.0	75509.0	76697.0	76509.0	76763.0	18201.0	16343.0	15567.0	14386.0	13557.0	12773.0	12543.0	12644.0	12986.0	18243.0	17896.0	18168.0	18163.0	17173.0	17286.0	16933.0	16831.0	16351.0	42229.0	40286.0	38427.0	37380.0	35688.0	35085.0	34113.0	33667.0	34224.0	9920.0	9930.0	9539.0	9642.0	9481.0	9501.0	9635.0	9560.0	9706.0	
            España	153423.0	152141.0	147310.0	148028.0	141878.0	139389.0	139701.0	139770.0	141139.0	73301.0	75064.0	72526.0	74987.0	72122.0	70608.0	71996.0	72218.0	72594.0	15924.0	14556.0	13936.0	12916.0	12256.0	11630.0	11437.0	11696.0	12205.0	16495.0	16384.0	16730.0	16689.0	15825.0	15932.0	15649.0	15563.0	15228.0	38287.0	36693.0	34980.0	34206.0	32562.0	32097.0	31383.0	31042.0	31712.0	9416.0	9444.0	9138.0	9230.0	9113.0	9122.0	9236.0	9251.0	9400.0	
