
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            América Latina y Caribe	714.0	814.0	707.0	769.0	713.0	687.0	667.0	598.0	706.0	326.0	394.0	332.0	394.0	372.0	367.0	366.0	321.0	397.0	30.0	34.0	22.0	25.0	15.0	21.0	19.0	16.0	13.0	51.0	52.0	47.0	66.0	72.0	51.0	46.0	47.0	81.0	281.0	310.0	273.0	255.0	223.0	218.0	208.0	193.0	191.0	26.0	24.0	33.0	29.0	31.0	30.0	28.0	21.0	24.0	
            Norte de África	69.0	70.0	93.0	98.0	84.0	74.0	70.0	95.0	81.0	33.0	41.0	47.0	57.0	46.0	37.0	42.0	61.0	49.0	7.0	5.0	8.0	2.0	4.0	6.0	3.0	4.0	8.0	8.0	3.0	11.0	8.0	10.0	9.0	3.0	7.0	8.0	18.0	15.0	18.0	25.0	12.0	14.0	15.0	17.0	15.0	3.0	6.0	9.0	6.0	12.0	8.0	7.0	6.0	1.0	
            Resto de África	47.0	38.0	56.0	45.0	34.0	36.0	23.0	34.0	28.0	33.0	26.0	43.0	37.0	21.0	27.0	17.0	26.0	20.0	1.0	4.0	1.0	3.0	2.0	0.0	0.0	1.0	1.0	3.0	2.0	0.0	2.0	1.0	2.0	2.0	4.0	3.0	8.0	5.0	11.0	3.0	6.0	6.0	3.0	3.0	3.0	2.0	1.0	1.0	0.0	4.0	1.0	1.0	0.0	1.0	
            Asia y Oceanía	33.0	28.0	36.0	39.0	32.0	30.0	39.0	34.0	22.0	17.0	9.0	18.0	18.0	14.0	21.0	23.0	18.0	10.0	3.0	2.0	4.0	4.0	4.0	1.0	3.0	1.0	2.0	4.0	0.0	5.0	5.0	5.0	2.0	5.0	6.0	5.0	6.0	12.0	3.0	10.0	4.0	5.0	6.0	8.0	3.0	3.0	5.0	6.0	2.0	5.0	1.0	2.0	1.0	2.0	
Privada	
    Total	
        Ambos sexos	
            Total	89089.0	86878.0	74774.0	71969.0	63716.0	59823.0	58845.0	56448.0	54733.0	46422.0	47877.0	40401.0	39831.0	34371.0	31327.0	32567.0	31430.0	31058.0	10953.0	9796.0	8613.0	7526.0	7444.0	6771.0	6050.0	5419.0	5283.0	6221.0	5614.0	5285.0	4882.0	4221.0	4387.0	3899.0	3358.0	2640.0	24237.0	22441.0	19418.0	18879.0	16893.0	16693.0	15657.0	15479.0	15020.0	1256.0	1150.0	1057.0	851.0	787.0	645.0	672.0	762.0	732.0	
            España	77015.0	75582.0	64767.0	63708.0	55679.0	52717.0	52438.0	50892.0	49818.0	40855.0	42455.0	35696.0	36019.0	30593.0	28301.0	29912.0	29297.0	29274.0	9586.0	8655.0	7709.0	6897.0	6801.0	6191.0	5503.0	5076.0	4987.0	5433.0	4906.0	4659.0	4397.0	3831.0	4070.0	3575.0	3147.0	2433.0	20029.0	18543.0	15745.0	15615.0	13727.0	13560.0	12831.0	12642.0	12436.0	1112.0	1023.0	958.0	780.0	727.0	595.0	617.0	730.0	688.0	
            Unión Europea	4835.0	4680.0	4479.0	3950.0	3899.0	3717.0	3447.0	3350.0	2907.0	1673.0	1622.0	1466.0	1307.0	1322.0	1123.0	1083.0	909.0	728.0	306.0	295.0	189.0	136.0	137.0	127.0	115.0	87.0	61.0	182.0	160.0	155.0	113.0	121.0	90.0	81.0	72.0	53.0	2652.0	2579.0	2647.0	2370.0	2305.0	2369.0	2155.0	2269.0	2052.0	22.0	24.0	22.0	24.0	14.0	8.0	13.0	13.0	13.0	
            Resto de Europa	953.0	815.0	723.0	507.0	516.0	406.0	433.0	344.0	340.0	506.0	465.0	393.0	291.0	292.0	228.0	239.0	203.0	214.0	99.0	77.0	81.0	51.0	69.0	50.0	48.0	23.0	21.0	55.0	51.0	50.0	36.0	17.0	24.0	28.0	23.0	13.0	279.0	214.0	193.0	127.0	133.0	101.0	112.0	92.0	85.0	14.0	8.0	6.0	2.0	5.0	3.0	6.0	3.0	7.0	
            EEUU y Canadá	416.0	362.0	287.0	246.0	241.0	221.0	167.0	106.0	90.0	264.0	253.0	174.0	161.0	163.0	143.0	90.0	66.0	60.0	47.0	32.0	28.0	16.0	13.0	16.0	5.0	4.0	4.0	23.0	26.0	24.0	15.0	9.0	17.0	20.0	12.0	7.0	75.0	47.0	51.0	52.0	50.0	45.0	49.0	21.0	18.0	7.0	4.0	10.0	2.0	6.0	0.0	3.0	3.0	1.0	
            América Latina y Caribe	4504.0	4195.0	3495.0	2569.0	2480.0	2030.0	1730.0	1254.0	1091.0	2501.0	2453.0	2133.0	1597.0	1563.0	1213.0	987.0	738.0	595.0	692.0	566.0	459.0	324.0	332.0	305.0	300.0	176.0	155.0	413.0	395.0	327.0	229.0	203.0	150.0	146.0	83.0	96.0	815.0	701.0	526.0	388.0	353.0	332.0	274.0	246.0	226.0	83.0	80.0	50.0	31.0	29.0	30.0	23.0	11.0	19.0	
            Norte de África	448.0	436.0	354.0	330.0	296.0	256.0	192.0	174.0	150.0	180.0	216.0	185.0	131.0	128.0	114.0	77.0	84.0	61.0	74.0	63.0	46.0	36.0	48.0	34.0	24.0	20.0	27.0	8.0	13.0	9.0	12.0	6.0	4.0	3.0	2.0	1.0	182.0	140.0	108.0	147.0	112.0	101.0	85.0	67.0	60.0	4.0	4.0	6.0	4.0	2.0	3.0	3.0	1.0	1.0	
            Resto de África	206.0	159.0	126.0	113.0	107.0	86.0	99.0	60.0	61.0	100.0	92.0	65.0	54.0	65.0	42.0	38.0	32.0	30.0	33.0	26.0	25.0	15.0	22.0	15.0	21.0	11.0	4.0	30.0	11.0	13.0	18.0	4.0	7.0	12.0	6.0	9.0	39.0	29.0	23.0	23.0	16.0	19.0	23.0	11.0	16.0	4.0	1.0	0.0	3.0	0.0	3.0	5.0	0.0	2.0	
            Asia y Oceanía	712.0	649.0	543.0	546.0	498.0	390.0	339.0	268.0	276.0	343.0	321.0	289.0	271.0	245.0	163.0	141.0	101.0	96.0	116.0	82.0	76.0	51.0	22.0	33.0	34.0	22.0	24.0	77.0	52.0	48.0	62.0	30.0	25.0	34.0	13.0	28.0	166.0	188.0	125.0	157.0	197.0	166.0	128.0	131.0	127.0	10.0	6.0	5.0	5.0	4.0	3.0	2.0	1.0	1.0	
        Hombres	
            Total	35991.0	34629.0	31586.0	29486.0	26793.0	25915.0	24344.0	24283.0	23532.0	18174.0	18170.0	16446.0	15465.0	13546.0	12937.0	12413.0	12747.0	12440.0	7885.0	7066.0	6379.0	5634.0	5773.0	5263.0	4619.0	4247.0	4159.0	2174.0	1987.0	1980.0	1908.0	1720.0	1825.0	1627.0	1463.0	1176.0	7156.0	6894.0	6266.0	6121.0	5421.0	5630.0	5415.0	5501.0	5441.0	602.0	512.0	515.0	358.0	333.0	260.0	270.0	325.0	316.0	
            España	31061.0	29993.0	27360.0	25989.0	23253.0	22761.0	21504.0	21774.0	21316.0	15749.0	15896.0	14400.0	13823.0	11866.0	11574.0	11244.0	11784.0	11647.0	7099.0	6395.0	5840.0	5236.0	5363.0	4903.0	4299.0	4036.0	3953.0	1930.0	1735.0	1747.0	1711.0	1575.0	1703.0	1475.0	1381.0	1061.0	5741.0	5499.0	4898.0	4868.0	4145.0	4337.0	4235.0	4262.0	4356.0	542.0	468.0	475.0	351.0	304.0	244.0	251.0	311.0	299.0	
            Unión Europea	1996.0	1949.0	1895.0	1689.0	1778.0	1701.0	1590.0	1592.0	1336.0	741.0	705.0	666.0	577.0	640.0	530.0	517.0	453.0	346.0	177.0	173.0	114.0	88.0	89.0	82.0	65.0	53.0	45.0	49.0	52.0	52.0	30.0	34.0	33.0	31.0	21.0	19.0	1017.0	1009.0	1056.0	991.0	1008.0	1053.0	971.0	1059.0	921.0	12.0	10.0	7.0	3.0	7.0	3.0	6.0	6.0	5.0	
            Resto de Europa	403.0	353.0	290.0	187.0	195.0	151.0	157.0	129.0	143.0	231.0	221.0	162.0	116.0	118.0	95.0	87.0	85.0	99.0	60.0	50.0	53.0	28.0	43.0	25.0	29.0	11.0	17.0	12.0	9.0	17.0	12.0	3.0	7.0	8.0	9.0	5.0	94.0	72.0	56.0	31.0	30.0	23.0	31.0	24.0	20.0	6.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0	2.0	
            EEUU y Canadá	152.0	149.0	111.0	109.0	107.0	89.0	65.0	39.0	43.0	101.0	105.0	64.0	74.0	78.0	61.0	40.0	24.0	29.0	20.0	15.0	15.0	10.0	6.0	8.0	2.0	2.0	1.0	6.0	13.0	9.0	6.0	3.0	6.0	6.0	5.0	4.0	22.0	15.0	19.0	19.0	16.0	14.0	16.0	8.0	8.0	3.0	1.0	4.0	0.0	4.0	0.0	1.0	0.0	1.0	
            América Latina y Caribe	1757.0	1570.0	1428.0	1044.0	1032.0	867.0	713.0	500.0	467.0	1041.0	930.0	887.0	650.0	634.0	515.0	383.0	288.0	231.0	403.0	325.0	271.0	203.0	212.0	194.0	179.0	114.0	106.0	124.0	135.0	126.0	106.0	86.0	64.0	74.0	35.0	61.0	157.0	154.0	123.0	82.0	86.0	83.0	69.0	56.0	61.0	32.0	26.0	21.0	3.0	14.0	11.0	8.0	7.0	8.0	
            Norte de África	190.0	180.0	166.0	137.0	110.0	114.0	98.0	84.0	75.0	88.0	88.0	89.0	59.0	47.0	55.0	48.0	44.0	35.0	43.0	37.0	28.0	21.0	29.0	24.0	15.0	12.0	18.0	1.0	7.0	2.0	4.0	1.0	1.0	1.0	0.0	1.0	57.0	46.0	44.0	53.0	31.0	33.0	33.0	27.0	21.0	1.0	2.0	3.0	0.0	2.0	1.0	1.0	1.0	0.0	
            Resto de África	93.0	71.0	65.0	54.0	44.0	35.0	45.0	32.0	25.0	45.0	42.0	32.0	21.0	25.0	19.0	17.0	12.0	10.0	20.0	14.0	15.0	13.0	13.0	7.0	11.0	9.0	4.0	16.0	10.0	9.0	13.0	0.0	5.0	11.0	6.0	7.0	11.0	4.0	9.0	7.0	6.0	4.0	5.0	5.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
            Asia y Oceanía	339.0	364.0	271.0	277.0	274.0	197.0	172.0	133.0	127.0	178.0	183.0	146.0	145.0	138.0	88.0	77.0	57.0	43.0	63.0	57.0	43.0	35.0	18.0	20.0	19.0	10.0	15.0	36.0	26.0	18.0	26.0	18.0	6.0	21.0	6.0	18.0	57.0	95.0	61.0	70.0	99.0	83.0	55.0	60.0	50.0	5.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	
        Mujeres	
            Total	53098.0	52249.0	43188.0	42483.0	36923.0	33908.0	34501.0	32165.0	31201.0	28248.0	29707.0	23955.0	24366.0	20825.0	18390.0	20154.0	18683.0	18618.0	3068.0	2730.0	2234.0	1892.0	1671.0	1508.0	1431.0	1172.0	1124.0	4047.0	3627.0	3305.0	2974.0	2501.0	2562.0	2272.0	1895.0	1464.0	17081.0	15547.0	13152.0	12758.0	11472.0	11063.0	10242.0	9978.0	9579.0	654.0	638.0	542.0	493.0	454.0	385.0	402.0	437.0	416.0	
            España	45954.0	45589.0	37407.0	37719.0	32426.0	29956.0	30934.0	29118.0	28502.0	25106.0	26559.0	21296.0	22196.0	18727.0	16727.0	18668.0	17513.0	17627.0	2487.0	2260.0	1869.0	1661.0	1438.0	1288.0	1204.0	1040.0	1034.0	3503.0	3171.0	2912.0	2686.0	2256.0	2367.0	2100.0	1766.0	1372.0	14288.0	13044.0	10847.0	10747.0	9582.0	9223.0	8596.0	8380.0	8080.0	570.0	555.0	483.0	429.0	423.0	351.0	366.0	419.0	389.0	
            Unión Europea	2839.0	2731.0	2584.0	2261.0	2121.0	2016.0	1857.0	1758.0	1571.0	932.0	917.0	800.0	730.0	682.0	593.0	566.0	456.0	382.0	129.0	122.0	75.0	48.0	48.0	45.0	50.0	34.0	16.0	133.0	108.0	103.0	83.0	87.0	57.0	50.0	51.0	34.0	1635.0	1570.0	1591.0	1379.0	1297.0	1316.0	1184.0	1210.0	1131.0	10.0	14.0	15.0	21.0	7.0	5.0	7.0	7.0	8.0	
            Resto de Europa	550.0	462.0	433.0	320.0	321.0	255.0	276.0	215.0	197.0	275.0	244.0	231.0	175.0	174.0	133.0	152.0	118.0	115.0	39.0	27.0	28.0	23.0	26.0	25.0	19.0	12.0	4.0	43.0	42.0	33.0	24.0	14.0	17.0	20.0	14.0	8.0	185.0	142.0	137.0	96.0	103.0	78.0	81.0	68.0	65.0	8.0	7.0	4.0	2.0	4.0	2.0	4.0	3.0	5.0	
            EEUU y Canadá	264.0	213.0	176.0	137.0	134.0	132.0	102.0	67.0	47.0	163.0	148.0	110.0	87.0	85.0	82.0	50.0	42.0	31.0	27.0	17.0	13.0	6.0	7.0	8.0	3.0	2.0	3.0	17.0	13.0	15.0	9.0	6.0	11.0	14.0	7.0	3.0	53.0	32.0	32.0	33.0	34.0	31.0	33.0	13.0	10.0	4.0	3.0	6.0	2.0	2.0	0.0	2.0	3.0	0.0	
            América Latina y Caribe	2747.0	2625.0	2067.0	1525.0	1448.0	1163.0	1017.0	754.0	624.0	1460.0	1523.0	1246.0	947.0	929.0	698.0	604.0	450.0	364.0	289.0	241.0	188.0	121.0	120.0	111.0	121.0	62.0	49.0	289.0	260.0	201.0	123.0	117.0	86.0	72.0	48.0	35.0	658.0	547.0	403.0	306.0	267.0	249.0	205.0	190.0	165.0	51.0	54.0	29.0	28.0	15.0	19.0	15.0	4.0	11.0	
            Norte de África	258.0	256.0	188.0	193.0	186.0	142.0	94.0	90.0	75.0	92.0	128.0	96.0	72.0	81.0	59.0	29.0	40.0	26.0	31.0	26.0	18.0	15.0	19.0	10.0	9.0	8.0	9.0	7.0	6.0	7.0	8.0	5.0	3.0	2.0	2.0	0.0	125.0	94.0	64.0	94.0	81.0	68.0	52.0	40.0	39.0	3.0	2.0	3.0	4.0	0.0	2.0	2.0	0.0	1.0	
            Resto de África	113.0	88.0	61.0	59.0	63.0	51.0	54.0	28.0	36.0	55.0	50.0	33.0	33.0	40.0	23.0	21.0	20.0	20.0	13.0	12.0	10.0	2.0	9.0	8.0	10.0	2.0	0.0	14.0	1.0	4.0	5.0	4.0	2.0	1.0	0.0	2.0	28.0	25.0	14.0	16.0	10.0	15.0	18.0	6.0	12.0	3.0	0.0	0.0	3.0	0.0	3.0	4.0	0.0	2.0	
            Asia y Oceanía	373.0	285.0	272.0	269.0	224.0	193.0	167.0	135.0	149.0	165.0	138.0	143.0	126.0	107.0	75.0	64.0	44.0	53.0	53.0	25.0	33.0	16.0	4.0	13.0	15.0	12.0	9.0	41.0	26.0	30.0	36.0	12.0	19.0	13.0	7.0	10.0	109.0	93.0	64.0	87.0	98.0	83.0	73.0	71.0	77.0	5.0	3.0	2.0	4.0	3.0	3.0	2.0	1.0	0.0	
    Presencial	
        Ambos sexos	
            Total	59500.0	58277.0	50955.0	47546.0	43674.0	40068.0	39176.0	38007.0	38083.0	28315.0	30000.0	25032.0	24319.0	22627.0	19594.0	20060.0	19630.0	19623.0	6860.0	6198.0	5471.0	4570.0	4462.0	4498.0	4038.0	3570.0	3509.0	3714.0	2765.0	2615.0	2171.0	1936.0	2027.0	1923.0	1579.0	1499.0	19572.0	18324.0	16931.0	15635.0	13862.0	13304.0	12483.0	12466.0	12720.0	1039.0	990.0	906.0	851.0	787.0	645.0	672.0	762.0	732.0	
            España	49233.0	49253.0	42985.0	40954.0	37002.0	34140.0	33753.0	33105.0	33740.0	23686.0	25902.0	21565.0	21600.0	19689.0	17291.0	18006.0	17875.0	18218.0	5784.0	5343.0	4827.0	4134.0	3987.0	4075.0	3605.0	3290.0	3285.0	3076.0	2311.0	2257.0	1841.0	1689.0	1813.0	1683.0	1458.0	1339.0	15772.0	14817.0	13517.0	12599.0	10910.0	10366.0	9842.0	9752.0	10210.0	915.0	880.0	819.0	780.0	727.0	595.0	617.0	730.0	688.0	
            Unión Europea	4245.0	4028.0	3931.0	3453.0	3489.0	3331.0	3106.0	3125.0	2694.0	1350.0	1280.0	1154.0	1016.0	1102.0	897.0	883.0	798.0	584.0	208.0	199.0	117.0	71.0	84.0	82.0	78.0	62.0	37.0	139.0	85.0	77.0	75.0	73.0	52.0	50.0	33.0	39.0	2526.0	2444.0	2564.0	2267.0	2216.0	2292.0	2082.0	2219.0	2021.0	22.0	20.0	19.0	24.0	14.0	8.0	13.0	13.0	13.0	
            Resto de Europa	816.0	652.0	552.0	384.0	379.0	296.0	313.0	274.0	274.0	431.0	363.0	295.0	211.0	211.0	156.0	162.0	165.0	166.0	71.0	56.0	52.0	36.0	45.0	41.0	38.0	18.0	18.0	43.0	32.0	31.0	21.0	11.0	14.0	17.0	8.0	8.0	257.0	193.0	169.0	114.0	107.0	82.0	90.0	80.0	75.0	14.0	8.0	5.0	2.0	5.0	3.0	6.0	3.0	7.0	
            EEUU y Canadá	389.0	344.0	254.0	226.0	234.0	205.0	155.0	97.0	81.0	251.0	243.0	156.0	150.0	159.0	132.0	84.0	60.0	52.0	44.0	31.0	27.0	14.0	13.0	15.0	5.0	4.0	4.0	20.0	24.0	19.0	14.0	8.0	13.0	15.0	10.0	6.0	67.0	43.0	42.0	46.0	48.0	45.0	48.0	20.0	18.0	7.0	3.0	10.0	2.0	6.0	0.0	3.0	3.0	1.0	
            América Latina y Caribe	3581.0	2922.0	2402.0	1671.0	1784.0	1468.0	1291.0	948.0	856.0	2045.0	1695.0	1454.0	967.0	1106.0	863.0	718.0	547.0	444.0	570.0	436.0	334.0	234.0	264.0	223.0	247.0	150.0	124.0	328.0	243.0	172.0	139.0	119.0	104.0	111.0	51.0	70.0	575.0	479.0	398.0	300.0	266.0	248.0	192.0	189.0	199.0	63.0	69.0	44.0	31.0	29.0	30.0	23.0	11.0	19.0	
            Norte de África	394.0	355.0	272.0	270.0	243.0	198.0	162.0	149.0	123.0	149.0	158.0	119.0	94.0	92.0	76.0	59.0	67.0	47.0	59.0	48.0	40.0	29.0	37.0	24.0	16.0	16.0	17.0	7.0	11.0	7.0	7.0	4.0	3.0	2.0	0.0	0.0	175.0	134.0	101.0	136.0	108.0	92.0	82.0	65.0	58.0	4.0	4.0	5.0	4.0	2.0	3.0	3.0	1.0	1.0	
            Resto de África	179.0	134.0	90.0	98.0	79.0	72.0	81.0	48.0	50.0	81.0	72.0	40.0	42.0	46.0	32.0	23.0	23.0	23.0	28.0	22.0	17.0	13.0	16.0	13.0	20.0	9.0	2.0	28.0	11.0	12.0	18.0	4.0	6.0	12.0	6.0	9.0	38.0	28.0	21.0	22.0	13.0	18.0	21.0	10.0	14.0	4.0	1.0	0.0	3.0	0.0	3.0	5.0	0.0	2.0	
            Asia y Oceanía	663.0	589.0	469.0	490.0	464.0	358.0	315.0	261.0	265.0	322.0	287.0	249.0	239.0	222.0	147.0	125.0	95.0	89.0	96.0	63.0	57.0	39.0	16.0	25.0	29.0	21.0	22.0	73.0	48.0	40.0	56.0	28.0	22.0	33.0	13.0	28.0	162.0	186.0	119.0	151.0	194.0	161.0	126.0	131.0	125.0	10.0	5.0	4.0	5.0	4.0	3.0	2.0	1.0	1.0	
        Hombres	
            Total	24119.0	23574.0	21472.0	19123.0	17868.0	17308.0	16182.0	16390.0	16186.0	11818.0	11989.0	10786.0	9386.0	8902.0	8390.0	7850.0	8237.0	7879.0	4637.0	4283.0	3825.0	3226.0	3232.0	3309.0	2868.0	2602.0	2578.0	1158.0	966.0	890.0	809.0	741.0	770.0	782.0	703.0	673.0	6057.0	5929.0	5575.0	5344.0	4660.0	4579.0	4412.0	4523.0	4740.0	449.0	407.0	396.0	358.0	333.0	260.0	270.0	325.0	316.0	
            España	19786.0	19620.0	17993.0	16196.0	14824.0	14584.0	13688.0	14099.0	14204.0	9654.0	10065.0	9136.0	8085.0	7501.0	7249.0	6868.0	7383.0	7233.0	4058.0	3802.0	3470.0	2968.0	2944.0	3066.0	2638.0	2442.0	2430.0	953.0	794.0	751.0	669.0	652.0	690.0	662.0	650.0	579.0	4719.0	4585.0	4274.0	4123.0	3423.0	3335.0	3269.0	3313.0	3663.0	402.0	374.0	362.0	351.0	304.0	244.0	251.0	311.0	299.0	
            Unión Europea	1790.0	1754.0	1696.0	1527.0	1632.0	1563.0	1469.0	1521.0	1244.0	651.0	617.0	570.0	489.0	557.0	467.0	453.0	423.0	284.0	103.0	109.0	62.0	39.0	50.0	48.0	35.0	32.0	24.0	36.0	27.0	27.0	20.0	21.0	19.0	19.0	12.0	14.0	988.0	993.0	1032.0	976.0	997.0	1026.0	956.0	1048.0	917.0	12.0	8.0	5.0	3.0	7.0	3.0	6.0	6.0	5.0	
            Resto de Europa	349.0	306.0	224.0	156.0	151.0	122.0	119.0	102.0	118.0	206.0	194.0	127.0	101.0	97.0	76.0	65.0	70.0	80.0	38.0	34.0	30.0	19.0	26.0	20.0	23.0	8.0	14.0	10.0	6.0	12.0	6.0	1.0	4.0	5.0	2.0	3.0	89.0	71.0	54.0	30.0	26.0	21.0	24.0	22.0	19.0	6.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	2.0	
            EEUU y Canadá	147.0	145.0	99.0	101.0	105.0	84.0	62.0	37.0	38.0	99.0	104.0	60.0	70.0	77.0	57.0	39.0	22.0	25.0	18.0	14.0	14.0	8.0	6.0	7.0	2.0	2.0	1.0	5.0	12.0	8.0	6.0	3.0	6.0	4.0	5.0	3.0	22.0	14.0	13.0	17.0	15.0	14.0	16.0	8.0	8.0	3.0	1.0	4.0	0.0	4.0	0.0	1.0	0.0	1.0	
            América Latina y Caribe	1470.0	1202.0	1035.0	716.0	766.0	651.0	565.0	399.0	383.0	912.0	732.0	671.0	435.0	480.0	400.0	305.0	237.0	184.0	320.0	243.0	187.0	139.0	162.0	133.0	138.0	92.0	83.0	103.0	88.0	68.0	67.0	46.0	41.0	59.0	22.0	49.0	116.0	122.0	91.0	72.0	64.0	66.0	55.0	41.0	59.0	19.0	17.0	18.0	3.0	14.0	11.0	8.0	7.0	8.0	
            Norte de África	173.0	156.0	138.0	119.0	95.0	92.0	80.0	71.0	60.0	84.0	75.0	68.0	51.0	40.0	45.0	38.0	36.0	29.0	31.0	28.0	23.0	16.0	21.0	15.0	7.0	8.0	10.0	1.0	6.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	56.0	45.0	43.0	50.0	31.0	31.0	33.0	26.0	21.0	1.0	2.0	3.0	0.0	2.0	1.0	1.0	1.0	0.0	
            Resto de África	86.0	59.0	44.0	49.0	35.0	27.0	37.0	29.0	19.0	41.0	34.0	19.0	18.0	20.0	14.0	10.0	10.0	6.0	17.0	10.0	8.0	11.0	9.0	6.0	10.0	8.0	2.0	16.0	10.0	8.0	13.0	0.0	4.0	11.0	6.0	7.0	11.0	4.0	9.0	7.0	6.0	3.0	5.0	5.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
            Asia y Oceanía	318.0	332.0	243.0	259.0	260.0	185.0	162.0	132.0	120.0	171.0	168.0	135.0	137.0	130.0	82.0	72.0	56.0	38.0	52.0	43.0	31.0	26.0	14.0	14.0	15.0	10.0	14.0	34.0	23.0	15.0	26.0	17.0	6.0	21.0	6.0	18.0	56.0	95.0	59.0	69.0	98.0	83.0	54.0	60.0	49.0	5.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	
        Mujeres	
            Total	35381.0	34703.0	29483.0	28423.0	25806.0	22760.0	22994.0	21617.0	21897.0	16497.0	18011.0	14246.0	14933.0	13725.0	11204.0	12210.0	11393.0	11744.0	2223.0	1915.0	1646.0	1344.0	1230.0	1189.0	1170.0	968.0	931.0	2556.0	1799.0	1725.0	1362.0	1195.0	1257.0	1141.0	876.0	826.0	13515.0	12395.0	11356.0	10291.0	9202.0	8725.0	8071.0	7943.0	7980.0	590.0	583.0	510.0	493.0	454.0	385.0	402.0	437.0	416.0	
            España	29447.0	29633.0	24992.0	24758.0	22178.0	19556.0	20065.0	19006.0	19536.0	14032.0	15837.0	12429.0	13515.0	12188.0	10042.0	11138.0	10492.0	10985.0	1726.0	1541.0	1357.0	1166.0	1043.0	1009.0	967.0	848.0	855.0	2123.0	1517.0	1506.0	1172.0	1037.0	1123.0	1021.0	808.0	760.0	11053.0	10232.0	9243.0	8476.0	7487.0	7031.0	6573.0	6439.0	6547.0	513.0	506.0	457.0	429.0	423.0	351.0	366.0	419.0	389.0	
            Unión Europea	2455.0	2274.0	2235.0	1926.0	1857.0	1768.0	1637.0	1604.0	1450.0	699.0	663.0	584.0	527.0	545.0	430.0	430.0	375.0	300.0	105.0	90.0	55.0	32.0	34.0	34.0	43.0	30.0	13.0	103.0	58.0	50.0	55.0	52.0	33.0	31.0	21.0	25.0	1538.0	1451.0	1532.0	1291.0	1219.0	1266.0	1126.0	1171.0	1104.0	10.0	12.0	14.0	21.0	7.0	5.0	7.0	7.0	8.0	
            Resto de Europa	467.0	346.0	328.0	228.0	228.0	174.0	194.0	172.0	156.0	225.0	169.0	168.0	110.0	114.0	80.0	97.0	95.0	86.0	33.0	22.0	22.0	17.0	19.0	21.0	15.0	10.0	4.0	33.0	26.0	19.0	15.0	10.0	10.0	12.0	6.0	5.0	168.0	122.0	115.0	84.0	81.0	61.0	66.0	58.0	56.0	8.0	7.0	4.0	2.0	4.0	2.0	4.0	3.0	5.0	
            EEUU y Canadá	242.0	199.0	155.0	125.0	129.0	121.0	93.0	60.0	43.0	152.0	139.0	96.0	80.0	82.0	75.0	45.0	38.0	27.0	26.0	17.0	13.0	6.0	7.0	8.0	3.0	2.0	3.0	15.0	12.0	11.0	8.0	5.0	7.0	11.0	5.0	3.0	45.0	29.0	29.0	29.0	33.0	31.0	32.0	12.0	10.0	4.0	2.0	6.0	2.0	2.0	0.0	2.0	3.0	0.0	
            América Latina y Caribe	2111.0	1720.0	1367.0	955.0	1018.0	817.0	726.0	549.0	473.0	1133.0	963.0	783.0	532.0	626.0	463.0	413.0	310.0	260.0	250.0	193.0	147.0	95.0	102.0	90.0	109.0	58.0	41.0	225.0	155.0	104.0	72.0	73.0	63.0	52.0	29.0	21.0	459.0	357.0	307.0	228.0	202.0	182.0	137.0	148.0	140.0	44.0	52.0	26.0	28.0	15.0	19.0	15.0	4.0	11.0	
            Norte de África	221.0	199.0	134.0	151.0	148.0	106.0	82.0	78.0	63.0	65.0	83.0	51.0	43.0	52.0	31.0	21.0	31.0	18.0	28.0	20.0	17.0	13.0	16.0	9.0	9.0	8.0	7.0	6.0	5.0	6.0	5.0	3.0	3.0	1.0	0.0	0.0	119.0	89.0	58.0	86.0	77.0	61.0	49.0	39.0	37.0	3.0	2.0	2.0	4.0	0.0	2.0	2.0	0.0	1.0	
